Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
ASPK,0.7339567190605831,0.7539273064225376,0.6343519807382074,0.7406626643422354,0.6858446462793282,0.628697514,0.8446477256032782,0.8072185734437671,0.6469493805161382,0.9177627439038208,0.8520545611052109,0.7445977246459561,0.8094536382714622,0.8486498814340699,0.9056051568254002,0.9345160257706284,1,1.0003344430421146,0.2632249577059899,0.2955941073049258,0.2787399788930477,0.8185775996706993,0.7899246533834775,0.6258111172390564,0.9651997815965048,0.7917582831013108,0.8066797213605608,1.0013965406568766,1.1506964862657951,0.970212912
DXPS,0.6673795514228287,0.6725948724374793,0.6162583113358118,0.5889792640262195,0.4668472593179534,0.4424791878775612,0.4972604985450033,0.4125458546888361,0.3768810075433176,0.7903362561232805,0.6668834119535801,0.6601159986168266,0.4814668363789803,0.5526508923979321,0.5245849859749725,0.9755938767074964,1,0.9835438597659484,0.4630018507556726,0.5345527006104609,0.4667468871064258,0.534493296,0.4722364638078021,0.3984524370250523,0.4577976275392625,0.4297059670701153,0.4124063011094566,0.922928374,0.912930324,0.8560850864189093
ME2,0.5197148434799259,0.5502765678964555,0.5563528649573912,0.5653207540766505,0.4997870521644003,0.4531829445642336,0.4696432030853365,0.4675658060490185,0.4250631364867518,0.6499978709935575,0.5837771863783602,0.5772560294932153,0.7080403404861408,0.6127181095947547,0.6068129887124504,0.9659644760344854,1,0.8402434442729854,0.3763638760151885,0.3649296761067569,0.3742874076240621,0.4667136397366286,0.4481931073210189,0.5357834123727699,0.5510934923341694,0.5047353032236077,0.5111677663533527,0.8370028722170846,0.7734975241929587,0.7655106824130626
PAPSR,0.5445785836532046,0.5130026778711192,0.5805886706483995,0.389966547,0.2705047934621973,0.2585460756183705,0.3503469682791458,0.283886639,0.2821181643080629,0.4518564906186259,0.3536552795492261,0.4038910200587412,0.3789154458276885,0.3423718317693191,0.3248241333204324,0.9758789328506924,1,0.9789125587852416,1.1918956791578008,1.0168220398142558,0.9554209939003744,0.6580653996741462,0.6678968006907718,0.5668990983899858,0.5944287978965755,0.5127800634235833,0.4310091297884611,1.300291210904688,0.5511020617565396,0.3678341936493445
SADT,0.389374459,0.3841028584907636,0.3412510430844487,0.6493681525658476,0.648169082,0.6804335949281175,0.5388895286013329,0.5349716577262758,0.5248831250239269,0.7478469136472983,0.7011768186762384,0.5912120310839805,0.545878465,0.5825246735855162,0.5544974126422784,1.0554667513550098,1,1.0900811402613202,0.1483858552302795,0.1604203846149553,0.1388970604183584,0.3795709158318102,0.337043386,0.3578255347947099,0.3952293618269596,0.4432023709154714,0.4116629741888428,1.0144461724991296,0.8264597025332988,0.8484312421362321
DPCOAK,1.0528840991595962,0.7833111398197727,1.0878706906360676,1.3000498659268411,0.9927835010423456,0.6953950269805504,0.9103032341492798,0.817680966,1.3260555660038778,0.5684004098542329,0.9297742039223152,0.8216530445846185,1.329610007722912,0.8568078779542854,1.4203484894526728,1.4404087477928451,1,0.8388868084433584,0.6195157847689997,0.5872639058436313,0.8117151185298196,0.9195155338640664,0.6962443873526041,0.657075728,1.0986400384923318,0.8464640519800667,1.0452738107315338,0.9374700393955464,1.125979576474284,1.2035798346029505
PC11M,0.5107081130167187,0.688515524,0.6223474470580173,1.145824205132861,1.2597361314052833,1.186335057556683,0.905048697,0.8815810708867943,0.9270637708432016,0.8385954422059233,0.8324074411429812,0.6560514528825735,0.8938489977552675,1.0029246930122002,0.9387391292749464,1.1781500789767445,1,0.9534177408282166,0.3885610430284052,0.3418273004847043,0.3376234710943873,0.9646127925968818,0.8102156021326514,0.9040022749875062,0.8465880060704439,0.873421506,1.037708134867172,1.2649644727091027,1.1873177197447429,0.8986180961679958
ARGSL,0.8018117372337176,0.7190285407224498,0.7636330997673308,1.1827627583762843,1.3166339122180124,1.1787852744602083,1.247276218,1.3955270799155954,1.1827337758116463,0.925374077,1.1572835312507126,0.7337463756261047,1.0500240298180548,1.1080220249871977,1.2112920814604256,0.8702024003619512,1,1.1688912409408627,0.6930337706042463,0.7543591459875295,0.7401463032394994,1.3303990513950583,1.3581306277262348,1.0001835314023182,1.139655320937284,1.1877523772750869,1.1615243715580594,1.1237882906389085,1.040049556,0.9683520896731777
HSK,1.3063756763937886,0.9231881292726768,1.0976739254715842,1.2631166316273776,1.025539433393555,0.8680697404719835,1.5161868802177692,1.4005135032390108,1.1220182193779522,1.3427148445874846,1.1314975608922244,1.0392615274599375,0.9960301658483076,1.0466911491378403,1.347649216639642,1.5521921321719785,1,1.6754052188181687,1.0094936358447062,1.0533789647278016,0.9068360690542157,1.5798948725391722,1.5624809110597315,0.791050909,1.4372318988943282,1.140871394878865,1.1412242700339004,1.5424706849847776,0.935109491,1.2043423185230993
MTHFD,0.7021927031182609,0.6148992447094566,0.7103351581878261,0.5496773339941193,0.4696939239948993,0.4919224420790825,0.7015024297631319,0.6028824660861756,0.5993194612656889,0.9060003378065632,0.7814205259438495,0.7394877401660236,0.6731150665218263,0.705208162,0.6905400157086404,0.9912471419098404,1,1.129214590773839,0.8716040461301326,0.8781854100464489,0.8316304547455803,0.6196385304851951,0.6182650159733318,0.4326843665695179,0.681685016,0.6165961578625975,0.62752063,1.0546537944374987,0.9333778068581448,0.9616896435633138
