,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
ASPARAGHYD-RXN,0.9533147973957801,0.8851396979374606,0.9571557080855241,0.9662432469621202,1.0,0.8935700914752942,0.7738663656189626,0.7878355496619703,0.7447197749892155,0.5804666538160255,0.6254158784540123,0.6547120777029328,1.0305910481615794,1.003461887918726,0.9800858222843984,0.9107222631022217,1.0414358243475914,0.8469024195296272,0.9144080876427476,0.9540371244376894,1.0221933148111424,0.8316776323080048,0.6884382058612911,0.7936600934437081
SERINE-O-ACETTRAN-RXN,1.0906035407562602,0.8977643648692791,0.9471675382426689,0.9071508237632939,1.0,0.9511520656619454,0.788621026008329,0.8362316198592528,0.839589070785146,1.001985662911408,1.010318424197466,1.0461670144075303,1.058420610588221,1.0964064868667633,1.169834253815486,0.8753322022016125,1.067723027614301,1.0017495309072555,0.9138934666043972,1.0215054514030162,1.0224672584186358,0.9801300650042353,0.9413071055161467,0.9753059726836448
AIRS-RXN,0.4263060634522851,0.4604210726573621,0.38232231194189176,0.8338572545982899,1.0,0.8616786821327105,0.5260272625301383,0.7713953234665726,0.6796056133980296,0.5009109872239704,0.5082806806961749,0.48016093922658837,0.3548812832462254,0.36384556173552995,0.34426766415405063,0.834092745703052,0.9593275354395413,0.9401533108954239,0.6847017082939924,0.7118542987788351,0.7298826295213088,0.5132290424297697,0.4471875326663392,0.4943289856705192
PRAMPC,1.128393566586085,0.9271286609189455,0.9021762314873029,1.4087662157745393,1.0,1.0108298311151633,1.070097275040797,0.8069468945137903,0.9304452597349102,1.0489381117701144,1.1398170915188242,1.0595780845847478,0.9371720465599408,0.8680207274470052,0.9051642057696907,1.4786009621764982,1.6598288359969064,1.15449528430329,1.5208483425005448,1.3052377061522336,1.3514986417201775,1.4107695930380653,1.640995674369468,1.4689616464628996
PYRIMSYN1-RXN,1.253068661102227,1.3712701387053932,1.212210715894895,0.9324426312588217,1.0,0.8627414192486867,0.9107905217995088,0.9350961428333634,0.8755420455342628,1.4398251113915552,1.2961789987873278,1.3514040506686005,4.217546035902905,5.351819897411117,4.158306013688998,1.8240153713912597,1.3592919291409415,2.054002138152979,0.926439772977895,0.9569281458135558,0.9659943085121411,0.9194348761152298,0.8583646644270657,0.7907776695213342
G1PCTYT,0.7696351460367138,0.8098914027017292,1.0156188743707908,1.3082519359230578,1.0,1.032714025387006,1.3471270233150094,1.3001612696959206,1.2026859574162951,1.2778496542645976,1.280758680757404,1.5716849085109927,0.8878943139258669,1.0150761280745189,1.00478682368726,1.2584308428873527,1.2627951981907641,1.133670308777469,1.4817658380062535,1.2063053903682714,1.1688677630292872,0.9783879871318082,1.2965561465831363,1.4638340933841305
COBINPGUANYLYLTRANS-RXN,1.3381807368513765,1.378567058047132,1.5472837896182896,1.2213814411081008,1.0,0.9848324502748335,1.1025965252738719,0.8438984899772491,1.1388248351527435,1.0145871250172378,0.9478261736653472,1.1155210821884576,1.5822552789341617,1.5152337652075172,1.8573180499230106,1.4650159825727136,1.6520416520291927,1.2897288949731844,1.7007990427761983,1.3111650209754226,1.407737534141939,0.7793978719081309,1.170576914631601,1.1159336939664042
SEPHCHCS,0.969038805732119,0.9571535986030875,0.9325480894426104,0.9494209486001903,1.0,0.849726014141769,0.9689431953359161,1.0303746931891031,0.8079738524070461,1.265720742509355,1.1486523786964893,1.0846837905766336,0.7361333310988044,0.7434719407335447,0.7092962001300448,0.9866491492223453,0.9730611823564317,0.8848653577112544,1.097206425805519,0.8969512963385908,0.9924121445706809,1.225381758775458,1.4369709645912034,1.4819032705408612
NMNAMIDOHYDRO-RXN,0.7661902481699144,0.7905639295678196,0.8516586765502746,0.8193505989273218,1.0,0.802440005613524,1.0646249042304288,0.8925472175504774,0.863086635527111,0.6157777394554451,0.550094823477432,0.507928624728363,1.113804064763161,1.250367239928416,1.1450753158417566,1.1076609127796218,1.1761780911713486,1.051947724436645,1.1366334839788053,1.0518359090180818,1.2447035906401205,0.7421765912261734,0.665363052279979,0.71868730000824
CA2abcpp,0.802426154848897,0.7372016352342063,0.8725567310230017,1.5783441618378315,1.0,0.9415666489038972,2.0020923880246815,1.0897449511161346,0.9651509393957157,4.140908672389625,2.8974691526453893,1.9188553363212133,0.9653031179310386,0.8257954447761132,0.9721499431605822,1.4684854028304815,1.036502269628818,1.0119224513859322,1.2884841229333628,1.1137529254474008,0.8861012284177829,3.218431222904734,4.629921008521867,2.8608120310408873
