Reaction_ID,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
GTHRDH_syn,1.0,1.131779751407455,0.90485274598607,0.8782120730839291,0.9787820119083759,1.0585135315016139,1.169007005552492,1.1649159194362242,1.0223570284181966,1.1889501034917416,1.3362153218201793,1.351269230116003,0.8451986941094985,0.6815267355230236,0.7502362193777349,0.7169138825184205,0.710718300647825,0.7595091816857532,0.9824043398910569,0.8845107836868413,0.8719330408302028,1.173194542034785,1.224337418771019,1.3782095122099383
ANPRT,1.0,0.8059643684151914,0.6645012353107729,1.0032353195371808,1.1758034295093158,1.1637189724190387,0.9266982762780628,0.7072703798119663,1.0296595784220925,0.8162454013870223,1.0400696739962298,0.8734518406691912,0.5845359294022618,0.4631457342261377,0.630554414426039,0.7412585437708101,0.821278110068198,0.4961931433312597,0.9118609289735976,1.0979139011818217,1.1313732401964465,0.9718688783708552,1.0142693077301133,1.1795961361487723
PC6AR_1,1.0,1.1098525728850097,1.361622674651577,0.7729845906998946,1.0264731208175495,0.8783126152017688,1.2091727528252187,1.3176917779159765,1.2253386605375913,0.9082909582528881,1.2288093309792052,1.1047813443040202,1.6154016424300899,1.5635760792822937,1.2035903124704226,0.781702158498115,0.7610065893960632,0.6782948988968078,1.0006930565218255,0.9476866381535968,0.7212762004686838,0.9414704853480599,0.7197159258544694,1.0338874047394968
ADK1,1.0,1.0309900230096236,1.0699492394030465,4.085630409601388,4.180407778751729,4.130966335284021,1.4999374229187707,1.9056307267931432,2.5104190051321136,3.5250652951326775,3.470939846841285,2.7415076382312904,0.6205459956514794,0.5863346046718977,0.544620947090301,4.0351703278251625,3.8166345702828486,3.8669479960874527,2.0882189419145374,2.9792148115802077,3.218630846466611,3.914125627779766,3.7650448443096445,3.209117117579859
PRAIi,1.0,1.1270396047462916,0.9961996690311157,0.8890459338244928,1.2039765382938425,1.063834870108717,1.1479417051350043,1.1743867808945987,1.1806515135190383,1.5405500793811784,1.6223469271994546,1.466957237391397,1.3224200664118666,1.448833547442876,1.3302398853282693,1.1422520652625916,1.1531965257099985,1.0421498863603587,1.3297723347463415,1.1231986740288031,1.108888857769324,1.4984493382477608,1.4188058470641922,1.3702558755604441
TRSARyr,1.0,0.9046538826572808,0.9566300343909822,1.4168139613831519,1.3427611777685586,1.4256378780614822,1.6902331427493789,1.4644657272856347,1.5210632502141672,1.6463422393021796,1.674447573890943,1.8323078607548426,0.9201060401815753,0.8981185475981095,0.9132782467187452,1.5987290495539415,1.5684328550389852,1.4172807696911738,1.542826767093255,1.4117285629367198,1.3289145994294664,1.411892946845521,1.83674441885033,1.6332656199075137
CYNTtabcpp,1.0,1.2840118615392213,0.6530554879775843,4.947327118737956,3.049867927284514,1.4747835880618387,2.959678938179575,1.6617182974948534,0.6438176449077017,5.844763266482661,3.758792294618232,1.8595580362128215,0.6418433735342345,0.574171814523732,0.6443871946831505,6.382053450194928,1.72773917986611,1.4197643226750787,1.4040644282126804,0.8021006797788356,0.5952650052959441,5.617268839328379,4.922909852056507,3.070205194253798
RBPCcx,1.0,0.9286634214735706,0.8886464283122745,1.1769297928511269,0.8989482441317497,0.8457918551063012,1.0505622885641004,0.9493195403700092,0.8542360948404104,1.118038386546718,1.1369088668935232,1.1843021967144487,0.5641189950986354,0.5794115914272084,0.5927789216739154,1.0395888670775286,0.867353999962239,0.6345044819031935,1.2614936577133693,1.1055784720760455,1.239819961824795,1.566808187564375,1.5431461393088228,1.655390486826766
UPP3S,1.0,0.9373330096364878,1.1411689139364565,1.0253330140104209,0.9238329864503324,0.9713226765681858,1.0629914527059598,0.7902953816789676,1.0489793455099166,1.0788255862562848,1.0397110976447188,1.1539996118935019,0.5976235450029905,0.5565383440267389,0.5082499053048348,0.9790339885919225,0.8293593593699882,0.7326662960324414,1.303172963499905,1.0100260638637268,1.1319270200731264,1.459129751174474,1.402177833398355,1.4897370465827409
DHNPA_1,1.0,1.1654320445932997,1.1466795892109523,0.993815270064953,1.1058739035438507,1.1947938039801806,1.5929289880444941,1.7501084241070761,1.9049865968919364,1.4826890430538433,2.01636369341602,2.65871996861187,4.819556876296657,5.616948414745625,4.753441765207882,1.718984541907253,2.3206665039266157,2.296761600814827,1.789309535883863,2.12522518002466,2.2639268386252414,0.9029235447238732,0.7368640870424581,1.0516293611540208
