Entry	Entry Name	Gene Names (ordered locus)
Q8KPU2	MNME_SYNE7	Synpcc7942_1582
Q8L1E5	SYE_SYNE7	Synpcc7942_2393
Q8VW88	Q8VW88_SYNE7	Synpcc7942_1443
Q935Y2	RIMO_SYNE7	Synpcc7942_2512
Q935Y7	GLGA_SYNE7	Synpcc7942_2518
Q935Z2	GPDA_SYNE7	Synpcc7942_2522
Q935Z3	TIG_SYNE7	Synpcc7942_2524
Q9L4P3	CLPP3_SYNE7	Synpcc7942_2537
Q9L790	NADA_SYNE7	Synpcc7942_1448
Q9WWL6	Q9WWL6_SYNE7	
O05161	RRP3_SYNE7	Synpcc7942_2345
O32384	O32384_SYNE7	
O33698	RS1_SYNE7	Synpcc7942_1591
O50209	O50209_SYNE7	Synpcc7942_2158
O50210	O50210_SYNE7	
O68523	O68523_SYNE7	Synpcc7942_2305
P0A4H0	SECY_SYNE7	Synpcc7942_2214
P11472	PSBO_SYNE7	Synpcc7942_0294
P12243	THIO1_SYNE7	Synpcc7942_1830
P27366	SUBI_SYNE7	Synpcc7942_1681
P27367	CYST_SYNE7	Synpcc7942_1682
P27368	Y1683_SYNE7	Synpcc7942_1683
P27369	CYSR_SYNE7	Synpcc7942_1684
P27370	CYSW_SYNE7	Synpcc7942_1685
P29820	PPI_SYNE7	Synpcc7942_1431
P31094	PSBB_SYNE7	Synpcc7942_0697
P31160	RL15_SYNE7	Synpcc7942_2215
P32084	Y1390_SYNE7	Synpcc7942_1390
P35087	NBLA_SYNE7	Synpcc7942_2127
P37371	Y2319_SYNE7	Synpcc7942_2319
P39661	NIR_SYNE7	Synpcc7942_1240
P39665	SPHX_SYNE7	Synpcc7942_2445
P42452	HEM4_SYNE7	Synpcc7942_0272
P50020	DNAK1_SYNE7	Synpcc7942_2073
P50021	DNAK2_SYNE7	Synpcc7942_2468
P50022	DNAK3_SYNE7	Synpcc7942_2580
P52691	LRRA_SYNE7	Synpcc7942_2418
P52693	NTCB_SYNE7	Synpcc7942_1242
P72560	P72560_SYNE7	Synpcc7942_B2646
P95822	PSAL_SYNE7	Synpcc7942_2342
P95823	P95823_SYNE7	Synpcc7942_2343
Q31JY2	Q31JY2_SYNE7	Synpcc7942_2607
Q31JY5	Q31JY5_SYNE7	Synpcc7942_2604
Q31JY7	Q31JY7_SYNE7	Synpcc7942_2602
Q31JZ0	Q31JZ0_SYNE7	Synpcc7942_2599
Q31K00	Q31K00_SYNE7	Synpcc7942_2589
Q31K07	Q31K07_SYNE7	Synpcc7942_2582
Q31K13	Q31K13_SYNE7	Synpcc7942_2576
Q31K18	Q31K18_SYNE7	Synpcc7942_2571
Q31K28	Q31K28_SYNE7	Synpcc7942_2561
Q31K30	RL9_SYNE7	Synpcc7942_2559
Q31K36	HYPA_SYNE7	Synpcc7942_2553
Q31K38	Q31K38_SYNE7	Synpcc7942_2551
Q31K41	Q31K41_SYNE7	Synpcc7942_2548
Q31K46	Q31K46_SYNE7	Synpcc7942_2543
Q31K48	RL19_SYNE7	Synpcc7942_2541
Q31K58	EFTS_SYNE7	Synpcc7942_2531
Q31K59	RS2_SYNE7	Synpcc7942_2530
Q31K74	Q31K74_SYNE7	Synpcc7942_2515
Q31KC5	NANE_SYNE7	Synpcc7942_2464
Q31KC9	Q31KC9_SYNE7	Synpcc7942_2460
Q31KD2	SYGA_SYNE7	Synpcc7942_2457
Q31KD9	Q31KD9_SYNE7	Synpcc7942_2450
Q31KE0	Q31KE0_SYNE7	Synpcc7942_2449
Q31KE1	Q31KE1_SYNE7	Synpcc7942_2448
Q31KE5	Q31KE5_SYNE7	Synpcc7942_2444
Q31KE6	Q31KE6_SYNE7	Synpcc7942_2443
Q31KE7	Q31KE7_SYNE7	Synpcc7942_2442
Q31KF3	Q31KF3_SYNE7	Synpcc7942_2436
Q31KG3	PETM_SYNE7	Synpcc7942_2426
Q31KG6	MNMG_SYNE7	Synpcc7942_2423
Q31KH9	Q31KH9_SYNE7	Synpcc7942_2410
Q31KJ1	YQGF_SYNE7	Synpcc7942_2398
Q31KK7	Q31KK7_SYNE7	Synpcc7942_2382
Q31KL6	Q31KL6_SYNE7	Synpcc7942_2373
Q31KM4	RF3_SYNE7	Synpcc7942_2365
Q31KM8	Q31KM8_SYNE7	Synpcc7942_2361
Q31KN7	Q31KN7_SYNE7	Synpcc7942_2352
Q31KP1	QUEA_SYNE7	Synpcc7942_2348
Q31KP9	DER_SYNE7	Synpcc7942_2340
Q31KQ2	Q31KQ2_SYNE7	Synpcc7942_2337
Q31KR6	Q31KR6_SYNE7	Synpcc7942_2323
Q31KR8	YCF3_SYNE7	Synpcc7942_2321
Q31KS9	Q31KS9_SYNE7	Synpcc7942_2310
Q31KT1	GCST_SYNE7	Synpcc7942_2308
Q31KT6	Q31KT6_SYNE7	Synpcc7942_2303
