,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
UPPDC1,0.0001458194,0.0001458194,0.0001458194,0.000160971031805,0.0001536149420307,0.0001458194000026,0.0001458194,0.0001458194000035,0.0001458194,0.0002060446789187,0.000193861585278,0.0001639721113757,0.0002282033612151,0.000221319314998,0.0002305034917717,0.0004032884178173,0.0007860429436712,0.0003349479240433,0.0001458194,0.0001458194,0.0001458194,0.000148634258187,0.0001458194,0.0001458194,0.0001458194,0.0001458194,0.0001458194,0.0003311131115739,0.0002474756274853,0.0002038871251131
GARFT,0.00189375621,0.0018936538699997,0.0018936538699997,0.0020905869040656,0.0019952264475399,0.0018937562099962,0.0018937562099998,0.0018937050400128,0.0018937562099998,0.0026760644412266,0.0025177479875664,0.0021295629706175,0.0029638169486825,0.0028744188401761,0.0029936781017876,0.0052376472673134,0.0102086138885386,0.0043501536431572,0.001893653870006,0.0018937562100006,0.0018936538700007,0.0019303649245265,0.0018937050399996,0.0018938073799997,0.00189380738,0.0018937050399997,0.0018937562099998,0.0043004417265336,0.0032140522434118,0.0026479531682773
H4THDPR,0.00238923279,0.00238923279,0.00238923279,0.0026374903985948,0.0025169617796663,0.00238923279,0.00238923279,0.00238923279,0.00238923279,0.0033760165182259,0.003176398039409,0.0026866627152804,0.0037390837803709,0.0036262895366031,0.0037767711343653,0.0066078307253801,0.0128792161767731,0.0054880802078928,0.00238923279,0.00238923279,0.00238923279,0.0024353538924031,0.00238923279,0.00238923279,0.00238923279,0.00238923279,0.00238923279,0.0054252472810301,0.0040548574737919,0.0033406652666193
UDPG4E,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.000465153585972,0.0004438968946351,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.0005954016706905,0.0005601965183618,0.0004738257234891,0.0006594330085963,0.0006395403686103,0.0006660796329273,0.0011653715058239,0.0022714067859076,0.0009678898509596,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.000429504348818,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.0004213703301375,0.0009568084982984,0.0007151235490921,0.0005891670464954
GLCS3,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0056712736573466,0.0054121065408142,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0072592922259669,0.0068300618405077,0.0057770066163891,0.0080399789730143,0.0077974427257842,0.0081210163477995,0.0142085128897604,0.0276935830627175,0.0118007651246845,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0052366288740466,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0051374567999999,0.0116656583871888,0.0087189725458955,0.0071832780641343
AICART,0.00275180754,0.0027517051999997,0.0027517051999997,0.0030377956289117,0.0028991494188139,0.0027518075399962,0.0027518075399998,0.0027517563700128,0.0027518075399998,0.0038885019549298,0.0036584960024655,0.0030944310762941,0.0043066437440274,0.0041767375480352,0.0043500396537098,0.0076107345470704,0.0148339599896348,0.0063211020334683,0.002751705200006,0.0027518075400006,0.0027517052000007,0.0028049798449074,0.0027517563699996,0.0027518587099997,0.00275185871,0.0027517563699997,0.0027518075399998,0.0062488247658719,0.0046702836591658,0.003847694895875
PRAGSr,0.00189375621,0.0018936538699997,0.0018936538699997,0.0020905869040656,0.0019952264475399,0.0018937562099962,0.0018937562099998,0.0018937050400128,0.0018937562099998,0.0026760644412266,0.0025177479875664,0.0021295629706175,0.0029638169486825,0.0028744188401761,0.0029936781017876,0.0052376472673134,0.0102086138885386,0.0043501536431572,0.001893653870006,0.0018937562100006,0.0018936538700007,0.0019303649245265,0.0018937050399996,0.0018938073799997,0.00189380738,0.0018937050399997,0.0018937562099998,0.0043004417265336,0.0032140522434118,0.0026479531682773
UDCPDPS,1.1424e-07,1.1424e-07,1.1424e-07,1.2611031641478453e-07,1.2034729931405444e-07,1.1424e-07,1.1424e-07,1.1424e-07,1.1424e-07,1.6142258245256054e-07,1.5187792229408241e-07,1.284614667428808e-07,1.787824664290904e-07,1.733892647027332e-07,1.80584468870393e-07,3.159502017664131e-07,6.158134369295036e-07,2.624098771680112e-07,1.1424e-07,1.1424e-07,1.1424e-07,1.1644525800608081e-07,1.1424e-07,1.1424e-07,1.1424e-07,1.1424e-07,1.1424e-07,2.594055514301265e-07,1.9388103149463198e-07,1.5973227960702965e-07
GK1,0.0010479784,0.00104792723,0.00104792723,0.0011569270017922,0.0011041453189097,0.0010479783999999,0.0010479784,0.0010479783999999,0.0010479784,0.0014809695684001,0.0013933171708189,0.0011784962863457,0.0016401978754657,0.0015907284289583,0.0016567178724364,0.0028985045001634,0.0056494284888995,0.0024073975924483,0.00104792723,0.0010479784,0.00104792723,0.0010682604488502,0.0010479784,0.0010480295699999,0.0010480295699999,0.0010479784,0.0010479784,0.0023798480924833,0.0017786506833724,0.0014653724817199
SHKK,0.0039133560000022,0.0039133560000024,0.0039133559999986,0.0043199804219511,0.0041225650022274,0.0039133559999987,0.0039133559999997,0.0039133560000034,0.0039133559999979,0.005529622125142,0.0052026643774256,0.0044005204100766,0.0061242947977527,0.0059395476134425,0.0061860234135223,0.010823053376959,0.0210950385879612,0.0089889991883289,0.003913356,0.0039133559999997,0.003913356,0.00398889836388,0.0039133560000021,0.0039133560000024,0.0039133560000022,0.0039133560000023,0.0039133560000021,0.0088860843060433,0.0066415047083832,0.0054717198423844
G1PACT,0.001073914587723,0.001073914587723,0.001073914587723,0.0011855016496866,0.0011313263333896,0.001073914587723,0.001073914587723,0.001073914587723,0.001073914587723,0.0015174550602566,0.0014277303598098,0.001207603668553,0.0016806468726133,0.0016299480104931,0.001697586619714,0.0029700939309434,0.0057889621256515,0.0024667874216852,0.001073914587723,0.001073914587723,0.001073914587723,0.0010946451439416,0.001073914587723,0.001073914587723,0.001073914587723,0.001073914587723,0.001073914587723,0.0024385452189875,0.0018225811274935,0.0015015653466408
