,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS06295,101.154337,111.3930416,107.0709664,142.677106,178.1775701,189.8700955,123.4721877,86.33550509,118.7063753,150.9339243,148.1148509,118.6599359,143.4923481,141.4972559,116.7482435,127.7247741,138.7729382,158.3100787,68.94786222,67.87223558,61.62614843,110.0109623,100.733399,134.0680486,129.3252114,149.1589449,124.263528,133.7615286,138.5047398,154.6416819
SYNPCC7942_RS06300,110.1680898,148.5240554,134.2505194,247.1730147,271.7456796,255.9118679,195.2338011,190.1714504,199.9828124,180.8987475,179.5638945,141.5210245,192.8178428,216.3472536,202.5013781,254.1462342,215.7163495,205.6677946,83.81896976,73.73773742,72.83090269,208.0827503,174.776752,195.0080707,182.6228742,188.4112988,223.8506107,272.8735183,256.1238442,193.8466153
SYNPCC7942_RS06305,303.4630109,299.4696988,261.0884334,381.8119739,476.7991961,456.1009904,316.5953531,354.6755885,289.814664,412.8486754,343.9105099,183.9773318,346.3994967,403.9849191,348.1783898,505.6858403,458.9124888,564.2333575,152.0908726,193.5615607,168.771611,255.8394471,278.9540279,371.3278679,242.1908504,322.850611,326.9628999,496.2552711,302.2920908,303.8382341
SYNPCC7942_RS06310,7029.725656,7912.134736,7017.266413,9062.005771,9820.669871,7655.686081,8492.142688,8988.226097,7800.399111,10755.15192,8846.31164,6980.252377,11603.82262,10935.27706,10072.37722,21554.20729,22676.3225,23864.22956,3733.323952,3855.310567,3421.651832,7487.567819,6800.795884,7874.263387,7041.561812,7359.816361,6814.224102,17022.49213,11216.68544,9729.357648
SYNPCC7942_RS06315,2189.340402,2084.179952,1811.970201,2520.963796,2451.683549,2001.891225,2301.648217,2409.22727,1984.856149,2766.75201,2368.823128,2019.396157,3015.581379,3063.723193,2841.218315,4940.863455,4901.020501,5286.474167,967.2979494,925.0734331,850.8610266,2183.163282,1945.790442,1751.822502,1993.959623,1978.318638,1891.27327,4708.405806,3193.303723,3144.017856
SYNPCC7942_RS06320,157.2399099,186.4622653,174.6080375,266.2636134,176.1867593,188.8381929,223.7273828,171.5043142,131.5394969,274.122642,211.0129382,203.5725506,322.8577833,256.3356085,263.4584256,229.3832678,230.8302339,182.6654755,181.8330876,171.775411,184.1781481,168.0012369,163.5841522,244.572622,229.6502238,210.0000935,185.0733396,300.9634393,309.9867986,226.5173932
SYNPCC7942_RS06325,264.4034155,327.7215571,357.4523032,277.3160653,270.7502742,320.9217376,318.7059888,327.8415801,427.7707217,483.8764045,525.5033749,654.2625825,293.7109001,318.881497,339.9130275,175.9473929,186.8625703,185.3716306,1355.298664,1265.27254,1197.508111,342.8248591,334.9170273,316.8881149,307.2453506,317.9440668,331.369408,155.1633732,198.963158,215.6271339
SYNPCC7942_RS06330,2274.47029,2381.228063,2057.4098,2714.884088,3723.811675,2154.612823,961.3945555,859.8549628,1503.614087,1306.24433,1360.42476,3099.310436,1975.261855,1711.296523,2030.179632,2102.245517,2111.821842,1944.372505,1247.145155,1254.379465,1290.647631,1299.664391,1628.092799,2303.532835,1342.630831,2453.27212,1549.328243,1898.076091,1646.667462,1794.714731
SYNPCC7942_RS06335,10857.56601,12325.07501,5612.989508,18576.1573,21393.25328,4880.899739,4077.748148,9877.24846,4514.050541,9093.768941,14818.58648,23488.13557,28914.82918,18725.82887,21192.38912,11989.18568,12015.53807,10601.36296,4890.566502,5195.996701,4512.714778,7305.921812,9580.865502,7667.067312,10682.26246,7274.442491,2385.683477,11035.32611,8743.38651,18868.46324
SYNPCC7942_RS06340,19856.29589,23630.66154,6911.842692,50987.97481,33197.76615,8397.624117,20616.68939,22640.90286,6123.537882,35709.1908,65480.96687,29799.97327,87261.28421,78888.82154,69390.81661,30345.06036,31288.48861,27748.91534,11669.0877,13189.83778,11367.92349,28243.82216,14268.84291,7754.820944,20266.43631,9039.817109,4199.402205,28310.62753,38220.71272,64667.44868
