,L_T0_A,L_T0_B,L_T0_C,L_T2_A,L_T2_B,L_T2_C,L_T4_A,L_T4_B,L_T4_C,L_T8_A,L_T8_B,L_T8_C,L_T12_A,L_T12_B,L_T12_C,L_T16_A,L_T16_B,L_T16_C,D_T0_A,D_T0_B,D_T0_C,D_T2_A,D_T2_B,D_T2_C,D_T4_A,D_T4_B,D_T4_C,D_T8_A,D_T8_B,D_T8_C
SYNPCC7942_RS02525,49.88908358,46.54096977,46.32046508,29.98079154,26.13326283,21.89852931,26.96807331,19.22070829,21.56027252,26.05483684,29.23678294,31.25323667,24.57788898,29.05510185,33.10167145,30.63593989,31.38995874,25.61866879,41.98717296,37.61678915,38.13689529,26.68480676,32.34115733,24.04984916,27.61265658,26.73303466,27.77736854,30.54806892,35.30583734,38.85540962
SYNPCC7942_RS14145,34.8476183,30.56878146,27.79227905,27.74196619,15.18936937,12.33025299,13.43353465,13.968538,14.99845045,17.26525333,23.17430621,26.32403491,7.33024759,15.72159621,19.74135828,22.48282685,25.74239294,30.45484606,29.51907184,28.19210341,25.17309455,17.78987118,26.58064584,9.135819324,20.2340679,20.62262674,19.01013659,23.32300697,25.89094738,45.17336241
SYNPCC7942_RS02530,123.3213302,125.1791601,145.0864154,63.27115097,93.49481395,119.554133,78.88413954,104.5964125,128.8408556,66.23579005,92.3060973,143.1566042,89.14874642,80.9960716,90.92989266,35.4536885,38.2195732,32.28475098,120.5025124,138.5838572,135.6054712,64.95751127,92.49735582,128.6823098,100.8660678,123.1629097,156.9421323,36.63233161,53.17273078,73.07765387
SYNPCC7942_RS02535,33.07253855,33.4728157,40.73138417,36.98928826,47.07761066,54.45039721,34.84638686,64.03177818,82.69978929,27.20585373,57.2024014,82.95741679,39.88517071,45.17471315,44.3682042,8.647241097,8.799695547,9.54164705,44.61558346,51.54893328,47.53393603,44.39307303,75.46270043,92.99795569,48.37919995,66.83258665,79.85993455,7.858839307,14.33630971,27.16719697
SYNPCC7942_RS02540,18.31134903,21.78025679,17.15005649,14.01699344,12.3590521,10.85062263,14.54457886,11.51007531,10.41559059,9.940600402,8.995933211,11.11692311,14.8760907,12.43797168,12.46297871,10.37668932,11.03245412,12.6786269,22.10560631,21.22603135,22.29224994,15.17851394,13.82522756,16.0072048,13.23581885,9.35656213,11.71857735,10.52070423,13.58739801,11.47761423
SYNPCC7942_RS02545,58.20393084,56.70508961,55.27830709,43.60842405,45.4737642,36.79347493,45.85582503,33.97148441,37.80859384,50.4354673,42.92624652,45.20182887,45.59845192,44.77669806,39.18360506,52.13051061,60.28448144,53.98219495,59.44251452,62.36683342,53.0212591,48.55492362,44.60281748,49.50520899,42.97837732,34.46651968,39.75635872,51.33596644,60.87582257,57.1774727
SYNPCC7942_RS02550,2.989608005,3.286144007,3.062510088,3.89360929,1.698190364,2.071482503,3.333132657,2.681959296,3.645456707,1.464930586,1.857855772,1.782902763,2.371550691,2.985113204,3.489634039,2.84123636,2.101419832,2.222027395,2.089249377,2.540567459,2.949436146,3.264196546,3.209427826,1.717846369,4.10766792,2.482353218,3.992996728,2.661864926,2.139747718,2.316582688
SYNPCC7942_RS02555,24.19713979,28.81107653,24.5000807,18.3973039,20.37828437,20.12297288,27.57409743,24.47287857,23.33092292,17.68380493,17.50295701,16.4656314,29.75218139,23.68189809,24.12832678,19.64159049,20.48884336,17.90692666,23.31871885,27.12670416,25.37886917,17.13703187,19.66803206,24.51835272,21.4511547,19.85882575,20.65941785,13.68959105,14.87124664,14.84718904
SYNPCC7942_RS02560,158.0755232,157.1235367,159.0973991,118.7550834,121.7036428,114.8193159,150.4959896,147.1725163,138.6315108,139.4823193,148.5306799,122.1812776,121.1646807,131.2454772,129.4155709,117.1083509,128.580626,143.7782432,185.3366382,183.6584411,181.5618019,109.3505843,107.2278066,93.46645924,103.8327169,117.8163027,112.8455597,127.5160055,113.2996417,114.670843
SYNPCC7942_RS02565,427.4205194,474.4274883,416.9607485,840.0462044,963.3456561,889.8496979,949.7407991,1020.262015,878.9716899,1158.132266,986.9125424,743.1558222,1148.261725,1051.058359,931.4331768,1802.702705,1582.237795,1899.702715,179.473261,182.2652267,154.056595,729.3847182,577.7793018,752.5728773,632.4287239,709.666595,678.5490309,1422.069648,1005.14649,859.7680748
