Reaction_ID,WT100_0A,WT100_0B,WT205_0A,WT205_0B,WT205_5A,WT205_5B,WT205_10A,WT205_10B,WT205_20A,WT205_20B,WT205_30A,WT205_30B,WT205_40A,WT205_40B,WT205_50A,WT205_50B,WT205_60A,WT205_60B,WT205_70A,WT205_70B,WT205_80A,WT205_80B,AD205_0B,AD205_0A,AD205_50A,AD205_50B,AD205_60A,AD205_60B,AD205_70B,AD205_70A,AD205_80A,AD205_80B
NDPK3,1.0,0.985266321995893,0.9464273614347759,0.9635589480216081,0.7189773787388151,0.9197046232939158,0.9216463463608794,0.7873383176100323,0.8257881091902202,0.7753374025535343,0.8605010257493105,0.9185989676591458,0.8919554762907088,0.8576177470535951,0.6395465266509662,0.5924585535470098,0.5168608101659101,0.5353882060318156,0.39304806216405513,0.35343611712297685,0.2534538136098808,0.24774830549570798,0.864720613535593,0.9247458355495413,0.8079525226061434,0.9791416867568664,0.7915321602363434,0.7576332951100403,0.6838868159137622,0.7252230193959011,0.5927969005153022,0.563975398547653
NDPK6,1.0,0.985266321995893,0.9464273614347759,0.9635589480216081,0.7189773787388151,0.9197046232939158,0.9216463463608794,0.7873383176100323,0.8257881091902202,0.7753374025535343,0.8605010257493105,0.9185989676591458,0.8919554762907088,0.8576177470535951,0.6395465266509662,0.5924585535470098,0.5168608101659101,0.5353882060318156,0.39304806216405513,0.35343611712297685,0.2534538136098808,0.24774830549570798,0.864720613535593,0.9247458355495413,0.8079525226061434,0.9791416867568664,0.7915321602363434,0.7576332951100403,0.6838868159137622,0.7252230193959011,0.5927969005153022,0.563975398547653
NDPK1,1.0,0.985266321995893,0.9464273614347759,0.9635589480216081,0.7189773787388151,0.9197046232939158,0.9216463463608794,0.7873383176100323,0.8257881091902202,0.7753374025535343,0.8605010257493105,0.9185989676591458,0.8919554762907088,0.8576177470535951,0.6395465266509662,0.5924585535470098,0.5168608101659101,0.5353882060318156,0.39304806216405513,0.35343611712297685,0.2534538136098808,0.24774830549570798,0.864720613535593,0.9247458355495413,0.8079525226061434,0.9791416867568664,0.7915321602363434,0.7576332951100403,0.6838868159137622,0.7252230193959011,0.5927969005153022,0.563975398547653
4PEPTabcpp,1.0,0.9650002543031055,1.5913057923544345,1.274196521014072,0.9223205895243664,1.0293752748050684,1.087651286201696,1.0761760227941253,1.136080462243069,1.164875905982117,1.2623167114948866,1.152378404863384,1.0319150306175102,1.357514034271928,1.2424181959014169,1.1145296489255707,1.28375332809335,1.1141155806736487,1.0252511816360728,1.1388528884549354,1.0985719807293908,1.052529874763137,1.3399144561954957,1.1076786843866644,1.150961875960267,1.2016352292489205,1.2541358020414493,1.3093878328382191,1.2602572311746008,1.2198092586218647,1.1259627117661688,1.1117699875023546
ALAALAD,1.0,1.0084164025255322,1.3270315130456278,1.4041503579760006,1.0612562971102517,1.0384053217261453,1.131731106874271,1.1678178325918598,1.1126273478219835,0.9787597199570055,1.3217846874951897,1.2950362276123553,1.1480284370300224,1.2884602756660473,1.2865306767545035,1.2707659852155984,1.4998733538151112,1.4497419342822961,1.1961234811579202,1.424913511900575,1.2528017983870727,1.4192907830700354,1.2850729763553077,1.351600469325732,1.054209105753885,1.2299692485552929,1.1883755927857587,1.1636210896747219,1.2792848076419596,1.1691989434826542,1.2153305651421111,1.2239885095525165
ADPGLC,1.0,0.9935590969334056,0.8791330889401613,0.9132549440461387,1.0442554268203674,0.8235746000292008,1.0918194509103738,1.3643204053725635,1.2801924096589354,1.3004834482152066,1.2292756217372323,1.2077437155507798,1.4593268451723418,1.4090708645156405,1.634769308004918,1.4690765051826498,1.5575280237872418,1.6014549985770676,1.6207926000126327,1.449992837664303,2.130059446565757,2.2055652953981513,0.9155297201803149,1.0476667079139261,1.3897971777101101,1.4668138876384649,1.4132303932355577,1.4073880390958289,1.4007295290698383,1.3373620702829458,1.5254834446508134,1.565743133279676
NDPK8,1.0,0.985266321995893,0.9464273614347759,0.9635589480216081,0.7189773787388151,0.9197046232939158,0.9216463463608794,0.7873383176100323,0.8257881091902202,0.7753374025535343,0.8605010257493105,0.9185989676591458,0.8919554762907088,0.8576177470535951,0.6395465266509662,0.5924585535470098,0.5168608101659101,0.5353882060318156,0.39304806216405513,0.35343611712297685,0.2534538136098808,0.24774830549570798,0.864720613535593,0.9247458355495413,0.8079525226061434,0.9791416867568664,0.7915321602363434,0.7576332951100403,0.6838868159137622,0.7252230193959011,0.5927969005153022,0.563975398547653
UNK3,1.0,0.9213501987989866,1.138953149693229,1.00709535108393,0.7611549351161953,0.799466332524408,0.8281336692476167,0.8728535027292794,0.8904995208011256,0.8672226046670963,1.2372970033537531,1.0753853191918614,1.1104507568902149,1.3676713463215964,1.2881540965569975,1.1986708186290689,1.1810125472811552,0.8973857229127299,0.8512502066735126,0.9499267186102622,0.9431283266147931,0.94625432462692,1.1335621272126184,0.7234634522127981,1.197693203907458,1.0302238176761433,1.1005149947910418,1.1528890415506408,1.169751370928102,1.2349859190209846,1.1141803417871528,1.2655606325370545
NDPK5,1.0,0.985266321995893,0.9464273614347759,0.9635589480216081,0.7189773787388151,0.9197046232939158,0.9216463463608794,0.7873383176100323,0.8257881091902202,0.7753374025535343,0.8605010257493105,0.9185989676591458,0.8919554762907088,0.8576177470535951,0.6395465266509662,0.5924585535470098,0.5168608101659101,0.5353882060318156,0.39304806216405513,0.35343611712297685,0.2534538136098808,0.24774830549570798,0.864720613535593,0.9247458355495413,0.8079525226061434,0.9791416867568664,0.7915321602363434,0.7576332951100403,0.6838868159137622,0.7252230193959011,0.5927969005153022,0.563975398547653
DALAabcpp,1.0,0.9650002543031055,1.5913057923544345,1.274196521014072,0.9223205895243664,1.0293752748050684,1.087651286201696,1.0761760227941253,1.136080462243069,1.164875905982117,1.2623167114948866,1.152378404863384,1.0319150306175102,1.357514034271928,1.2424181959014169,1.1145296489255707,1.28375332809335,1.1141155806736487,1.0252511816360728,1.1388528884549354,1.0985719807293908,1.052529874763137,1.3399144561954957,1.1076786843866644,1.150961875960267,1.2016352292489205,1.2541358020414493,1.3093878328382191,1.2602572311746008,1.2198092586218647,1.1259627117661688,1.1117699875023546
