,Se_axen_d4_1,Se_axen_d6_3,Se_axen_d8_2
SK_for_c,0.0,0.13952183852006772,0.12440121628580836
EX_mg2_e,-0.00015425361351661948,-0.0004922593055628477,-0.00038694877826039864
3HAD80,0.006124172425904408,0.019543664467891856,0.015362629011012603
3OAR160,0.006123812220539462,0.01954251496844892,0.015361725427474354
NMNS,0.0,0.0,0.0
PPK,-0.1458488816141173,-0.3418844673606186,-0.2687440855998462
GALUi,0.002937210742544573,0.009373325444098897,0.0073680614827250565
PHYTES2_1,0.00015422650868176862,0.0004921728077056505,0.0003868807851522613
IGPDH,0.0011809243457557895,0.0037686053837727323,0.002962376195872666
OMPDC,0.0025988633263292447,0.008293579820327697,0.006519309117399034
DCTPD,0.0,0.0,0.0
GLUSfx,0.0,0.0,0.0
NADS2,3.566033112967215e-06,1.1380044485420626e-05,8.945477028413085e-06
GLUTRR,0.0013537955134052362,0.004320277652559663,0.003396027541810086
G1PTT,0.0,0.0,0.0
UAMAGS,0.0006307451716282158,0.002012855148705953,0.0015822389374970552
SPS,0.0,0.0,0.0
ADCL,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
CYTK1,0.002519261241729113,0.008039550977866107,0.006319625436210159
DAPDC,0.0026565522655864304,0.008477678698338065,0.006664023163675437
PSIum,1.1007602527037157,0.7543687885617172,0.6425786688944584
R05219,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
Cobalt2abcppI,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PFK_3,0.018480028006329363,0.0,0.024579788666670765
THRS,0.0034865754555396923,0.01112647654348042,0.008746155646401235
NAMNPP,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
FOLD3,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
P5CR,0.00325650966101805,0.010392282862934933,0.00816903024829687
MEHLER_1,0.0,0.0,0.0
ICHORS,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
3OAS140,0.006123812220539462,0.01954251496844892,0.015361725427474354
PPK2,-2.465114533921051e-05,-7.866756187675741e-05,-6.183797159938992e-05
IPDPS_syn,0.0010833676528972922,0.0034572791931891758,0.0027176529621502094
GLYDHDA,-1.049507449683981e-06,-3.3492233769694124e-06,-2.6327138546167195e-06
SBP,0.0,0.040957678848641876,0.0
H4THDPS,0.0032872974372146462,0.010490533847044018,0.008246262101172491
EAR60y,0.006124172425904408,0.019543664467891856,0.015362629011012603
ZNabcpp,0.0,0.0,0.0
UAPGR,0.0006307451716282158,0.002012855148705953,0.0015822389374970552
DHAD1,0.004278035565445659,0.013652210594059246,0.010731551745647225
IPPS,0.0,0.0,0.0
ANS,0.0,0.0,0.0
SUCBZL,2.7670321216302974e-07,8.830245720757174e-07,6.941164452907077e-07
ADSL1r,0.002344334716912645,0.007481319584375866,0.005880818178996844
NNATr,3.566033112967215e-06,1.1380044485420626e-05,8.945477028413085e-06
PERD,3.602053649459559e-07,1.1494994429388037e-06,9.035835382482586e-07
PPBNGS,0.0006768977567026181,0.0021601388262798317,0.001698013770905043
ADOCBLS,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
LTHRK,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
PPS,0.0,0.0,0.0
APRAUR,4.2078535814141214e-07,1.3428243492512389e-06,1.055549860590011e-06
PDS2_1,0.0,0.0,0.0
O2tex,-0.20854977200885483,1.1028523647555244,1.0102648942337873
ALAALAr,0.0006307451716282158,0.002012855148705953,0.0015822389374970552
ADCPS2,7.040377587580048e-08,2.2467489111985711e-07,1.7660950974852326e-07
GF6PTA,0.0014775775247958328,0.004715294959325605,0.0037065375972160737
DNMPPA,1.049507449683981e-06,3.3492233769694124e-06,2.6327138546167195e-06
PGMT,-0.011183821711965618,-0.03569018698475027,-0.02805487695929179
G5SADs,0.00325650966101805,0.010392282862934933,0.00816903024829687
GLCP2_1,0.0,0.0,0.0
AGDI_1,0.0,0.0,0.0
LPADSS2,6.567653268853898e-05,0.0002095891540953443,0.00016475111023260655
GLYCK,0.0,0.0,0.0
DPR,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
EX_ptrc_e,0.0,0.0,0.0
EAR120y,0.006123812220539462,0.01954251496844892,0.015361725427474354
MAN1PT,0.0019444050007176817,0.006205050459222743,0.004877585181441412
NMNAT,0.0,0.0,0.0
TKT2,2.6133733634914336e-05,0.2933145474485883,0.19019259242400932
PSP_L,0.012826188287214917,0.32487742925480845,0.3380224816353047
HEX7,0.049256599765731816,0.490147945942288,0.37877952776330526
PPNCL2,2.6196753814822227e-07,8.359995948281629e-07,6.571516641684649e-07
CHORS,0.0053843079684623716,0.0171825841941225,0.013506661806359885
CYTBD4cm,0.0,0.04507062548240093,0.04972340575271358
PPNCL3,0.0,0.0,0.0
CS,0.015817602663531955,0.050477664187708826,0.039678824282532776
