,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
3OAR100,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR120,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR140,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR160,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR180,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR40_1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3OAR40_2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR60,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAR80,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,2234.0,2534.0,2060.0,inf,inf,inf,1930.0,1828.0,1535.0,inf,inf,inf,1104.0,1304.0,1319.0,inf,inf,inf
3OAS100,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,35729.0,39927.0,34178.0,inf,inf,inf,31131.0,31799.0,31333.0,inf,inf,inf,19371.0,26237.0,21407.0,inf,inf,inf
