Sample,Se_Rt_cc_d1_1,Se_Rt_cc_d1_2,Se_Rt_cc_d1_3,Se_Rt_cc_d2_1,Se_Rt_cc_d2_2,Se_Rt_cc_d2_3,Se_Rt_cc_d3_1,Se_Rt_cc_d3_2,Se_Rt_cc_d3_3,Se_Rt_cc_d4_1,Se_Rt_cc_d4_2,Se_Rt_cc_d4_3,Se_Rt_cc_d5_1,Se_Rt_cc_d5_2,Se_Rt_cc_d5_3,Se_Rt_cc_d6_1,Se_Rt_cc_d6_2,Se_Rt_cc_d6_3,Se_Rt_cc_d7_1,Se_Rt_cc_d7_2,Se_Rt_cc_d7_3,Se_Rt_cc_d8_1,Se_Rt_cc_d8_2,Se_Rt_cc_d8_3,Se_Rt_cc_d9_1,Se_Rt_cc_d9_2,Se_Rt_cc_d9_3,Se_axen_d1_1,Se_axen_d1_2,Se_axen_d1_3,Se_axen_d2_1,Se_axen_d2_2,Se_axen_d2_3,Se_axen_d3_1,Se_axen_d3_2,Se_axen_d3_3,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d5_1,Se_axen_d5_2,Se_axen_d5_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d7_1,Se_axen_d7_2,Se_axen_d7_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3,Se_axen_d9_1,Se_axen_d9_2,Se_axen_d9_3
108)DHPGly,6943.0,-2135.0,-6910.0,613.0,-3381.0,-712.5,-2791.5,-2998.0,2199.5,1288.5,1762.0,-937.5,885.5,1317.5,1529.5,1749.0,940.5,-138.5,1911.5,1029.5,122.0,503.5,1798.0,11345.5,1354.0,5676.0,18322.0,-571.0,860,-2239,-2982.75,-6230.0,1517.5,-5394.5,-5304.0,-2558.0,939.25,266.0,-2500.5,4937.5,-1222.0,-533.0,445.5,1698.5,1372.0,4507.5,4112.5,8769.5,1482.5,-2865.0,-1553.0,-7761.0,-10294.0,-11446
109)FA17:0,20003.0,3860.0,11414.0,8843.0,1476.75,1776.5,2473.5,-906.5,-7620.5,1968.0,4362.75,-2935.0,-9102.5,-2239.5,-3003.0,-11340.0,-2051.5,8519.5,-2999.0,1255.5,6244.0,1256.0,1292.5,1675.0,707.0,10082.0,15417.0,17274.0,-8072,-3662,63871.0,57742.0,32609.5,42137.0,6601.0,-924.5,-62786.0,-52597.0,-34411.0,-47545.0,2748.5,-5846.5,-2087.0,-6598.5,-7162.0,125.5,-3108.5,-545.5,6523.5,-871.0,9285.0,4334.0,-9059.0,18938
110)ATROP,-5278.0,243.0,1281.0,-3293.0,-422.0,-5000.0,6835.5,2489.5,684.0,2371.0,988.5,4020.5,-4116.0,-1798.0,-5094.0,2005.0,493.0,-2553.5,978.5,-1120.0,-527.0,-1886.0,1115.0,10529.5,-3724.0,4963.0,22586.0,1668.0,4059,5479,721.5,2153.5,-1918.0,-2937.5,65.5,-3597.0,-105.5,-2631.0,3292.5,3617.5,-8.5,3149.5,2161.0,3423.5,-71.0,-1040.5,7373.5,-4204.0,-1518.0,-2854.0,1433.5,1571.0,-18736.0,9298
111)LACT,7493.0,15518.0,21668.0,1629.5,2748.0,9941.0,-8431.0,-439.0,-5476.5,-13063.0,3202.0,-20182.5,-11138.0,-8174.0,-8248.0,-1956.0,-6911.0,-3.5,1648.5,-4372.0,-9433.5,-3278.5,-9468.0,-1388.0,-4988.0,-10406.0,1382.0,14018.0,20924,-6730,-3457.5,18752.0,-15169.0,6709.0,8290.5,-11128.5,9595.5,-19565.5,21312.0,-5062.0,-18898.0,4110.0,-7925.0,336.5,-21996.0,4148.5,776.0,22940.0,-9634.5,-437.0,1907.5,-48452.0,-3089.0,-53004
112)MALT,-582.0,-7958.0,-12420.0,8489.5,4641.0,12565.5,36076.0,33651.0,37026.5,40122.5,30511.0,22363.5,-18814.0,-12407.0,-16341.0,-29125.5,-19114.0,36551.5,1913.5,-2577.5,28296.5,-1168.0,3103.5,-19996.0,-1132.0,8908.0,17425.0,13197.0,4038,4356,9679.5,6472.5,21113.0,-4735.5,20885.0,14441.0,-10676.0,-6036.5,-13206.5,10231.5,-11847.0,-2873.5,3111.5,11261.5,-4976.0,6191.5,17451.5,-10981.5,7002.0,3622.0,16379.5,-18338.0,-26378.0,33092
113)CY,15622.0,-9005.0,-1139.0,-63.5,175.0,1656.5,-5716.5,5657.0,4240.5,5723.0,-627.5,-3490.5,1764.5,-9546.5,-11476.5,946.0,-2829.0,-6557.5,1138.0,3450.5,3925.0,-2170.5,-1107.0,19910.0,-1124.0,1106.0,30798.0,-296.0,2994,211,5204.0,-2788.0,-7006.5,3894.0,4872.5,-1343.5,2092.0,6790.0,12233.0,-4965.5,7856.0,7585.5,-1094.5,5581.5,6382.0,2883.0,-6062.5,2816.0,1756.5,-6586.5,-11258.0,12589.0,-10332.0,-17626
114)PYR,-58680.0,-78932.4,-33464.0,-2436.5,-39407.0,-12318.5,20806.5,23039.2,15057.0,-28595.0,10348.5,-2120.5,7732.0,21336.0,17862.0,70066.0,56328.5,47964.0,104467.5,21361.5,35398.0,-54987.5,19018.5,-15660.0,-239238.0,40036.0,-67440.0,-50942.7,-60438,-65951,-20171.0,-13975.0,-9736.5,434.34999999999854,343.0,4921.5,25007.0,31668.5,20847.5,38191.5,75595.5,36363.5,29104.5,83248.5,65704.29999999999,29249.0,-15715.5,23656.5,21485.5,-42052.5,-61295.79999999999,26045.0,57771.0,-32893
115)LACA,1378.0,838.8999999999996,-360.0,310.5,49.5,6749.5,-636.0,-237.94999999999982,6430.5,411.0,447.0,1479.5,4068.5,3800.5,1713.5,19099.0,3085.5,-3105.0,14928.5,3110.5,-929.0,-15687.0,13460.0,-3489.5,-29833.0,19899.0,-10801.0,1830.5,2329,2111,125.5,242.5,8724.0,-1127.25,-2268.0,-1346.0,1934.0,5381.5,442.0,7383.5,7122.0,11167.0,2926.0,23787.5,8156.689999999999,4042.5,1288.0,-3496.5,-258.0,10.5,-12046.689999999999,-12973.0,44231.0,-4208
116)ALA,-211701.0,-163577.165,-91055.0,-31069.0,-85143.0,-31794.5,53686.0,36577.082500000004,26617.5,-64563.0,34803.5,-2644.5,31640.5,85515.5,56891.0,160026.0,91443.5,138150.0,180380.0,57059.0,118388.0,-132412.5,112462.5,-78439.0,-455749.0,112407.0,-262194.0,-194880.55,-192843,-157918,-54601.5,-38932.5,-9264.5,43981.274999999994,25994.0,32117.5,80441.5,109770.0,60844.5,59801.5,165065.5,80214.0,86273.5,207661.0,162223.52000000002,98787.5,-33456.5,70297.5,30414.5,-103606.5,-143885.52000000002,74796.0,227421.0,-67504
117)GLY,-170145.0,-139483.475,-64706.0,-25163.0,-65381.5,-23814.5,43560.5,38178.2375,19938.0,-47826.0,25874.5,-46.0,45831.5,84648.5,65694.0,160756.5,95554.0,120646.0,119846.5,32075.5,55629.5,-142150.0,86030.0,-70610.0,-357097.0,113833.0,-165466.0,-136646.27000000002,-163818,-115998,-42115.50000000001,-32055.5,-2232.0,29288.635000000002,30107.0,28746.0,88403.5,120412.5,64779.0,53280.5,134926.0,67631.5,61679.0,146868.5,94853.08000000002,76328.5,-23087.5,71783.0,12699.0,-72949.5,-87720.08000000002,60183.0,204479.0,-80963
