Label,Se_axen_d4_1,Se_axen_d4_2,Se_axen_d4_3,Se_axen_d6_1,Se_axen_d6_2,Se_axen_d6_3,Se_axen_d8_1,Se_axen_d8_2,Se_axen_d8_3
SYNPCC7942_RS01510,12806,13357,11126,13507,11113,11624,7351,9607,10329
SYNPCC7942_RS01515,99837,107561,88414,101808,90306,85144,74649,76624,74647
SYNPCC7942_RS01520,1526,1764,1208,1662,1460,1394,704,1344,1192
SYNPCC7942_RS01525,3078,3403,2911,3866,3171,3691,1908,2739,2505
SYNPCC7942_RS01530,14366,15657,12260,15350,13680,12674,7438,11589,11246
SYNPCC7942_RS01535,23217,23425,24505,26807,20469,25716,16381,17922,18136
SYNPCC7942_RS01540,7668,8333,8241,7701,7407,7608,3749,4655,4600
SYNPCC7942_RS01545,1536,1512,1538,1678,1326,1468,662,1120,1112
SYNPCC7942_RS01550,35196,38323,39257,35928,33108,36682,23205,20208,19589
SYNPCC7942_RS01555,11126,10825,11265,11121,8789,9080,6135,6287,7357
SYNPCC7942_RS01560,6255,5798,5578,6874,4835,6456,3996,3827,4422
SYNPCC7942_RS01565,15365,16168,14803,15647,13165,14676,9898,10162,11374
SYNPCC7942_RS01570,27923,28329,27709,25325,22248,27165,18234,17494,16582
SYNPCC7942_RS01575,53254,56182,50761,51108,48564,57061,33304,39322,34301
SYNPCC7942_RS01580,1513,1724,1500,1317,1317,1189,828,818,1136
SYNPCC7942_RS01585,3167,3404,2774,3413,2777,2774,1608,2324,2395
SYNPCC7942_RS01590,7220,7482,7367,6672,5097,5181,5037,3104,4435
SYNPCC7942_RS01595,6905,7560,6756,8460,6733,7674,4814,5754,6544
SYNPCC7942_RS01600,1192,1292,1010,966,876,894,532,706,804
SYNPCC7942_RS01605,22465,25333,21917,20685,18748,19668,14739,13328,15938
SYNPCC7942_RS01610,1972,2214,1837,1725,1320,1318,1293,836,1314
SYNPCC7942_RS01615,4894,5145,5274,5032,4456,4655,3087,3796,4282
SYNPCC7942_RS01620,3431,3630,3259,3931,3662,3866,2526,2812,3038
SYNPCC7942_RS01625,1188,1438,1114,1306,956,1104,638,758,994
SYNPCC7942_RS01630,1556,1584,1214,1282,1248,1113,686,848,946
SYNPCC7942_RS01635,46098,45656,42446,35067,31372,32009,24795,20918,26126
SYNPCC7942_RS01640,13071,13251,12209,14302,12000,14205,6976,10228,11053
SYNPCC7942_RS01645,13971,15234,13232,16750,13212,15056,9015,11659,13671
SYNPCC7942_RS01650,11023,11875,10347,10045,9835,9542,6482,6850,6780
SYNPCC7942_RS01655,12437,14015,11520,7360,7802,7646,14038,5175,4487
SYNPCC7942_RS01660,127543,129702,126580,81452,83374,93592,149594,52565,43801
SYNPCC7942_RS01665,114259,119208,110439,75266,78526,77054,134346,47130,40484
SYNPCC7942_RS01670,165978,171398,168475,126283,124013,146626,164434,82239,73013
SYNPCC7942_RS01675,2358,2298,1918,1407,1687,1499,1376,934,882
SYNPCC7942_RS01680,74465,74831,58643,54656,49579,40696,43399,38103,32416
SYNPCC7942_RS01685,184128,170474,153386,162565,136511,157695,143323,104896,72778
SYNPCC7942_RS01690,50830,52394,41960,40657,37284,32536,33073,27734,21847
SYNPCC7942_RS01695,18985,19335,15189,15613,14043,12916,11983,10504,8027
SYNPCC7942_RS01700,14236,14577,11439,10896,10414,9078,9050,8450,6177
SYNPCC7942_RS01705,25586,23598,21714,21416,19516,23471,17109,15112,10159
SYNPCC7942_RS01710,88860,88147,76230,69400,61876,57364,53361,47753,37500
SYNPCC7942_RS01715,24957,24274,19835,17090,16091,14962,14117,11765,7709
