Label,Se_Rt_CC_90_1,Se_Rt_CC_90_2,Se_Rt_CC_90_3,Se_Rt_CC_140_1,Se_Rt_CC_140_2,Se_Rt_CC_140_3,Se_Rt_CC_190_1,Se_Rt_CC_190_2,Se_Rt_CC_190_3,Se_ax_90_1,Se_ax_90_2,Se_ax_90_3,Se_ax_140_1,Se_ax_140_2,Se_ax_140_3,Se_ax_190_1,Se_ax_190_2,Se_ax_190_3
SYNPCC7942_RS06090,1808,1498,1728,1749,1474,1134,1808,1614,2786,1945,2262,1828,1587,1455,1576,1116,1074,1102
SYNPCC7942_RS06095,5198,4922,5557,3749,3774,2346,2342,3347,3195,7759,8809,6867,7126,7302,6828,3478,5405,4570
SYNPCC7942_RS06100,960,910,1220,752,670,438,410,522,740,1122,1226,1004,972,1082,788,628,648,609
SYNPCC7942_RS06105,5832,4849,6962,4353,4443,2796,3052,3920,5128,7341,8336,5975,6931,7012,6054,3879,4927,4107
SYNPCC7942_RS06110,1764,1433,1948,1994,1660,1068,1788,1802,2589,2294,2744,2228,3082,2408,2727,1792,2046,2208
SYNPCC7942_RS06115,3158,2424,2990,2356,2518,1658,1702,2164,2356,4360,4820,4136,4614,3994,4372,2397,3118,3029
SYNPCC7942_RS06120,14975,12539,12333,11193,10899,8617,10259,11476,11225,16633,17635,18654,20184,14720,20053,11550,10998,13469
SYNPCC7942_RS06125,1818,1343,1721,1242,1160,844,708,1114,1010,2444,2670,2229,2431,1992,2115,1336,1488,1722
SYNPCC7942_RS06130,7320,7340,8040,5206,5435,3779,3784,4931,5822,9261,9956,9293,8070,7475,7893,5137,5580,5118
SYNPCC7942_RS06135,14953,13207,16755,11869,12538,7660,7294,10130,12334,20943,23217,19261,18616,19722,20169,10934,14910,12297
SYNPCC7942_RS06140,2289,1724,1946,2258,1844,1322,1774,1886,2373,2774,3252,2744,3860,3236,3901,1804,2998,3096
SYNPCC7942_RS06145,1150,1046,1248,720,724,592,582,876,942,1630,2006,1398,1878,1512,1560,950,1242,1196
SYNPCC7942_RS06150,4605,4183,4773,2769,3180,2198,2244,3412,3294,6477,6699,5414,5850,5299,5100,3118,3906,3662
SYNPCC7942_RS06155,5176,4212,5266,3393,3584,2474,2574,3557,3730,7319,7834,6566,7632,6845,6758,3780,5610,4828
SYNPCC7942_RS06160,158,100,128,98,68,42,48,98,76,156,206,148,160,190,134,44,124,122
SYNPCC7942_RS06165,180,112,128,184,106,76,94,106,194,170,258,178,254,270,248,110,198,150
SYNPCC7942_RS06170,36,16,20,20,12,10,10,12,22,32,24,30,30,30,22,18,22,36
SYNPCC7942_RS06175,284,202,254,206,184,178,166,202,216,298,324,320,354,328,360,122,218,232
SYNPCC7942_RS06180,1248,996,1020,841,806,580,772,808,756,1398,1496,1329,1526,1232,1616,744,954,1177
SYNPCC7942_RS06185,2245,2294,2119,1919,2148,1985,1683,1910,2219,3223,3154,3299,3725,2922,4281,1648,2210,2160
SYNPCC7942_RS06190,4173,4021,3534,3809,4469,4634,4957,5576,5158,5843,5072,6222,6027,4751,7113,3406,3891,5075
SYNPCC7942_RS06195,490,418,396,488,464,336,460,482,584,604,619,632,656,635,740,350,462,612
SYNPCC7942_RS06200,728,612,628,616,606,532,616,758,731,770,822,876,896,660,878,368,574,793
SYNPCC7942_RS06205,1580,1517,1224,1232,1608,1542,1343,1696,1671,2074,1648,2337,2564,1789,3198,1215,1298,1809
SYNPCC7942_RS06210,3035,2337,2744,2954,3072,3025,2407,3016,3218,3644,3651,3406,4512,3370,4724,2118,2809,2922
SYNPCC7942_RS06215,1004,780,804,806,732,478,826,872,1110,1636,1606,1438,2234,1571,2264,1030,1626,1703
SYNPCC7942_RS06220,2772,2479,2906,1858,2256,1524,1633,2000,1808,4148,4155,3667,4665,4059,4188,1416,3718,3118
SYNPCC7942_RS06225,1492,1099,1508,1138,1054,596,640,934,868,1944,1971,1738,2142,1826,1618,826,1678,1543
SYNPCC7942_RS06230,12094,9561,9505,9690,9810,5974,5997,6636,6396,16583,16805,15969,14206,15437,14779,6233,9450,8878
SYNPCC7942_RS06235,4226,3122,4321,3654,3192,1926,2214,2769,3418,5656,5920,5133,5378,5572,6018,2735,3780,3643
SYNPCC7942_RS06240,1070,1094,1338,1034,1014,730,770,1170,1010,1803,1666,1558,1900,1610,1658,876,1170,1690
SYNPCC7942_RS06245,38742,32948,36425,30357,32073,24045,23902,33640,29467,51236,50867,43380,49605,39675,37547,24060,34595,38194
SYNPCC7942_RS06250,20823,17697,18320,16043,17371,12841,12159,19362,12739,28851,29798,24668,25711,22029,17244,11668,18565,22567
SYNPCC7942_RS06255,7988,7491,8975,4621,5168,3478,3098,4644,5237,13680,12748,12341,12792,10464,11137,6342,7563,7314
SYNPCC7942_RS06260,1274,1004,1204,1185,992,712,814,944,862,1682,1540,1508,1580,1236,1638,806,1144,1192
SYNPCC7942_RS06265,10101,8265,8560,7825,8096,5993,6487,8425,8602,13858,14843,12829,18359,15619,16625,6406,14700,13935
SYNPCC7942_RS06270,8604,6985,7394,7180,7448,5108,5669,6736,7445,12907,14679,12298,18210,16395,16601,6325,16086,14903
SYNPCC7942_RS06275,6117,4767,7781,5767,4456,3562,4009,5884,8284,5735,6357,5760,6890,5413,5611,6162,4047,4882
SYNPCC7942_RS06280,10139,8510,10982,10516,9905,6136,7090,8689,11099,13651,15209,11723,15809,13339,13770,7863,11067,12310
SYNPCC7942_RS06285,198,240,186,138,249,158,104,238,150,308,284,272,281,216,442,150,94,302
SYNPCC7942_RS06290,2909,2128,2304,1975,1746,1024,1262,1574,1772,3030,3236,3140,2896,2464,2794,1950,1552,1528
SYNPCC7942_RS06295,848,666,926,651,672,414,494,694,792,1224,1344,984,1342,1148,1280,768,1014,794
SYNPCC7942_RS06300,702,654,862,610,618,426,452,608,660,904,962,810,732,678,742,502,516,506
SYNPCC7942_RS06305,1116,1138,1170,874,1084,706,650,824,1178,1456,1548,1284,938,998,1116,802,748,652
SYNPCC7942_RS06310,16568,18994,20139,13975,17075,13119,11138,15163,16025,22448,23284,21863,15669,14988,16511,16117,10339,8886
SYNPCC7942_RS06315,7635,8187,9839,6368,7046,5406,5070,7106,7547,7981,9174,7601,6723,5734,5559,5971,4070,3883
SYNPCC7942_RS06320,594,566,628,436,484,432,474,564,530,852,844,778,950,704,928,536,542,570
SYNPCC7942_RS06325,7521,5767,5524,6436,5808,4942,6034,6156,5793,8883,8578,10481,10712,7745,10085,5541,5450,6964
SYNPCC7942_RS06330,4086,4895,4400,2588,2824,1874,1728,2392,2127,4002,4480,3958,3675,3051,3714,2040,2210,2605
SYNPCC7942_RS06335,19269,27564,23471,8199,14860,9556,4990,12991,12813,17074,17316,17943,13250,10245,14739,13381,7048,7397
SYNPCC7942_RS06340,46627,69544,60104,21356,41094,25490,12564,35754,33152,43828,43136,46350,34041,26361,38719,36291,18396,18837
SYNPCC7942_RS06345,18303,28206,24092,9046,16760,11088,5248,14372,14352,16638,16489,17453,11951,10426,14393,13987,6956,7174
SYNPCC7942_RS06350,35542,52620,55434,17863,30684,16154,7967,23054,25697,28829,33309,28323,18791,17456,20032,25654,10903,10238
SYNPCC7942_RS06355,32271,48257,51925,15862,26119,20984,9595,29307,32188,28520,31174,27895,21552,16512,20099,24707,11940,11484
SYNPCC7942_RS06360,5532,4417,5608,6870,5350,4078,5124,6082,8239,5581,6207,5792,6623,5461,6130,4532,4055,4574
SYNPCC7942_RS06365,2232,1670,1908,2364,1830,1328,1466,1974,1730,2902,3116,2859,2440,2106,2116,1370,1582,1662
SYNPCC7942_RS14005,150,138,146,166,144,72,90,128,140,246,232,236,308,276,244,122,216,258
SYNPCC7942_RS06370,866,878,956,620,604,388,436,588,700,1176,1358,1020,1210,1096,1076,674,848,752
SYNPCC7942_RS06375,1908,1724,2046,1288,1364,1092,1008,1318,1346,2918,2935,2342,2675,2412,2340,1256,1912,1646
SYNPCC7942_RS06380,956,592,904,700,683,424,502,744,792,1562,1471,1174,1710,1341,1688,636,1044,976
SYNPCC7942_RS06385,9022,6668,9293,5464,6032,3726,3706,5462,5963,15002,14949,12361,15382,15213,14841,6494,11109,9107
SYNPCC7942_RS06390,87,82,122,60,49,56,26,60,34,716,794,596,760,702,402,328,494,494
SYNPCC7942_RS06395,2453,1906,3077,1387,1582,1036,1001,1657,1701,3711,3932,2960,3780,3169,2818,1998,2342,2360
SYNPCC7942_RS06400,8352,10015,9633,6445,7383,6210,6616,7843,11461,8826,9621,10218,6170,7182,8752,10082,4615,3098
SYNPCC7942_RS06405,126001,126151,146301,99003,109033,82638,92037,114906,182733,137670,134787,142681,94788,97790,120262,138869,68944,53601
SYNPCC7942_RS06410,1220,1008,1156,998,878,572,592,876,704,1657,1838,1444,1641,1498,1364,654,1066,1113
SYNPCC7942_RS06415,2112,1788,2388,1812,1816,1108,1148,1622,1734,3008,3270,2554,2860,2886,2508,1444,2350,2036
SYNPCC7942_RS06420,2546,2372,2486,2038,2068,1464,1560,1972,1850,2914,3290,2859,2632,2522,2112,1550,2058,2380
SYNPCC7942_RS06425,29454,28574,31866,23282,25007,23897,20655,27938,23344,40534,40945,38366,39112,31632,30043,22228,26086,29918
SYNPCC7942_RS06430,4307,4095,4513,3436,3692,3134,2902,3356,4118,5897,6506,5511,5705,4812,5274,3666,3982,4316
SYNPCC7942_RS06435,6442,6251,6748,4430,5236,3334,3186,4937,4946,8017,8466,7576,8432,7184,7751,4716,6047,5520
SYNPCC7942_RS06440,7576,6376,7464,4696,5086,3640,3540,5016,4666,10854,11543,10146,11000,9343,9518,6016,8522,8306
SYNPCC7942_RS06445,834,744,926,594,602,372,378,534,562,1232,1222,971,1041,890,886,510,810,772
SYNPCC7942_RS06450,13909,14095,14045,13850,15925,13697,12287,15015,16032,22003,20551,19240,19184,15728,16789,13157,11786,12118
SYNPCC7942_RS06455,5865,4556,5112,4654,3801,2984,4310,4626,5089,7145,7631,6804,8963,7010,7228,4380,6508,7721
SYNPCC7942_RS06460,2789,2196,3314,2127,1934,1350,1470,2045,2236,3441,3800,3038,3545,2850,3170,1971,2318,2285
SYNPCC7942_RS06465,3246,2430,2900,2920,2660,1864,2424,2820,3588,3926,4426,3878,4632,4117,4739,2197,3602,3728
SYNPCC7942_RS06470,1938,1594,2112,1760,1360,946,1454,1592,2296,2522,2811,2205,3376,2481,2631,1612,2129,2538
SYNPCC7942_RS06475,2722,2140,2548,1846,1932,1334,1302,1930,1832,3146,3471,2993,2966,2837,2635,1537,2282,2264
SYNPCC7942_RS06480,1674,1534,1778,1370,1158,818,792,1090,1170,2358,2738,2096,2270,2114,1984,1290,1677,1584
SYNPCC7942_RS06485,1000,898,1130,744,762,534,418,616,580,1395,1500,1142,1132,1137,812,522,826,824
SYNPCC7942_RS06490,2206,1969,2822,1614,1747,1232,1044,1590,1652,3710,3886,3382,3196,2922,2756,2130,2024,1936
SYNPCC7942_RS06495,5122,4592,4937,4080,4553,2885,3038,3579,5040,6291,7390,6139,6879,6739,7502,3710,5792,5117
SYNPCC7942_RS06500,5545,4828,5531,4946,5250,4154,4387,5263,5608,8694,8137,8437,9497,8127,10278,4638,6700,6844
SYNPCC7942_RS06505,5194,5018,5349,6899,6839,6060,6870,8806,6932,4885,4875,3711,4369,4010,2595,3168,3710,4272
SYNPCC7942_RS06510,2489,2108,2674,2456,2329,1725,1843,2302,2822,2962,3241,2340,3134,2697,2312,1825,2161,2134
SYNPCC7942_RS06515,768,570,894,560,602,398,450,492,772,1017,1136,884,980,970,1064,572,696,712
SYNPCC7942_RS06520,1798,1444,1822,1272,1336,758,976,1282,1160,2514,2776,2400,2378,2250,2404,1296,1908,1784
SYNPCC7942_RS06525,3475,2857,4371,2577,2464,1812,2050,3020,3628,3868,4204,3764,4160,3408,3822,3040,2582,3045
SYNPCC7942_RS06530,6937,6279,7029,5595,5430,3148,3650,3881,4810,9020,11082,8301,8066,8787,8704,4905,6945,6904
SYNPCC7942_RS06535,1191,1073,1124,856,984,578,748,1138,1118,1690,1757,1302,1930,1742,1582,822,1556,1574
SYNPCC7942_RS06540,30599,27402,31288,23400,24833,17278,19398,24970,29808,40878,40967,37326,41247,34858,34774,23076,32001,28484
SYNPCC7942_RS06545,21179,16865,22730,17353,17813,13553,14766,18997,22017,28830,28578,28032,32162,27887,28743,17834,21422,20398
SYNPCC7942_RS06550,122,130,150,173,67,68,74,96,72,280,254,241,318,245,266,150,204,175
SYNPCC7942_RS06555,3470,2705,3086,2026,1593,872,1062,1676,1476,3926,4642,3947,3955,3534,3760,2166,2782,3074
SYNPCC7942_RS06560,6408,5200,6142,3444,2979,1924,2189,2898,2702,7651,8175,7345,7853,6926,7404,4132,4759,4883
SYNPCC7942_RS06565,5120,4748,4431,6496,5582,6646,7229,7114,5728,5604,5774,5945,7709,6151,6987,3958,6939,8307
SYNPCC7942_RS06570,378,278,386,264,260,186,154,266,272,506,536,428,518,452,444,244,356,368
SYNPCC7942_RS06575,716,674,774,492,544,380,454,590,732,726,832,712,670,584,566,384,504,442
SYNPCC7942_RS06580,478,406,492,308,340,222,202,308,264,584,648,504,478,470,476,264,314,298
SYNPCC7942_RS06585,1170,1020,1190,704,760,472,428,628,682,1404,1476,1272,1008,930,1010,672,657,570
SYNPCC7942_RS06590,8027,7067,9817,5452,6000,5436,4647,6388,8712,13102,12063,9883,11676,9343,10180,7922,7317,6821
SYNPCC7942_RS06595,430,294,504,354,294,198,160,242,246,582,586,480,410,414,356,224,284,340
SYNPCC7942_RS06600,17881,15274,15414,14579,13539,11002,12189,15866,13360,20624,22774,20649,24985,19215,19827,12091,17245,22218
SYNPCC7942_RS13750,20597,154014,15178,23354,187432,51521,34820,196466,64364,17219,19811,52495,28494,22620,302143,24412,23865,136834
SYNPCC7942_RS06605,1056,1258,1042,1010,1142,651,730,1126,1030,1186,1416,1153,1300,1241,1466,712,838,1182
SYNPCC7942_RS06610,13010,11538,10682,11090,11405,8394,9185,11141,10734,17166,17691,16749,21912,17245,21063,9919,15123,17403
SYNPCC7942_RS06615,10853,9271,11619,7356,8016,6004,5690,7562,8388,15004,17108,13566,14685,13929,12760,7556,10375,9832
SYNPCC7942_RS06620,19017,15746,17567,15042,14929,10727,11323,14993,14833,28931,30066,26811,33112,29131,31330,14512,22863,24000
SYNPCC7942_RS06625,10519,8475,9485,8066,8148,5830,6103,7562,9218,13795,14406,14198,14679,12643,15663,7951,8862,8151
SYNPCC7942_RS06630,454,372,468,326,298,152,158,300,314,554,530,428,536,522,538,210,336,366
SYNPCC7942_RS06635,14008,14095,12714,8068,10079,8568,7293,10613,9052,19790,19189,19546,19513,14399,17500,10202,10714,12110
SYNPCC7942_RS06640,17281,14819,15417,11260,10706,8404,9090,11793,11269,20306,18741,21526,21493,15510,23665,10466,10535,16581
SYNPCC7942_RS06645,3206,2932,3106,2701,2768,1828,1969,2724,3053,4229,4720,4024,4410,4409,5026,2622,3454,2969
SYNPCC7942_RS06650,622,582,706,798,510,392,570,606,724,783,820,648,760,626,612,310,464,506
SYNPCC7942_RS06655,5154,4014,4650,4878,3820,2576,2956,3656,3842,5878,6208,6467,6765,5505,6460,3648,3572,3872
SYNPCC7942_RS06660,5899,7611,4243,3526,5730,8423,4666,6190,4643,7765,6186,8508,7047,5164,8680,4865,3752,3988
SYNPCC7942_RS06665,2732,2670,2626,2024,2212,1844,2120,2412,2429,3960,4041,3647,4274,3398,4114,2420,2936,3384
SYNPCC7942_RS06670,2522,2300,3103,1638,1708,1248,1293,1648,2206,4010,3890,3512,3552,3228,3351,2264,2081,1793
SYNPCC7942_RS06675,6228,4882,5346,4213,4070,2496,2386,3074,3396,8499,8950,7587,7944,8154,9051,3546,6202,5680
SYNPCC7942_RS06680,8214,6932,8071,5797,4841,3331,3979,5692,5538,8402,9515,8707,9559,7811,8612,4811,6231,7703
SYNPCC7942_RS06685,1770,1596,2266,1354,1500,808,918,1278,1468,2474,2976,2136,2388,2258,2110,1292,1658,1762
SYNPCC7942_RS06690,2562,2094,3170,2060,2200,1098,1308,1552,2181,3834,4422,3260,3606,3588,3754,1650,3006,2608
SYNPCC7942_RS06695,1878,1558,1782,1604,1849,1104,1478,1494,1602,2348,2536,2136,2748,2227,2586,1250,1860,2250
SYNPCC7942_RS06700,2912,2512,2976,2294,3042,2220,1960,2424,3062,4198,4386,3872,4276,3956,4282,2584,3611,3199
SYNPCC7942_RS06705,876,980,866,910,816,768,782,874,760,1524,1600,1517,1490,1406,1387,792,1178,1204
SYNPCC7942_RS06710,3165,2810,3418,2284,2424,1754,1738,2296,2358,4882,5032,4092,4214,3949,4374,2112,3150,2756
SYNPCC7942_RS06715,5927,5512,6274,4872,5776,3702,3496,4592,5054,8959,9600,8096,6773,7274,7489,4084,5166,4149
SYNPCC7942_RS06720,83322,66423,77886,59809,60880,61377,66651,87172,95889,99070,95850,93400,103087,79120,82515,74095,63085,59405
SYNPCC7942_RS06725,13834,11535,12316,12594,11515,9249,10286,12488,12719,16404,18392,15965,22309,16969,18933,10604,17093,20153
SYNPCC7942_RS06730,674,354,578,552,404,430,454,464,612,734,908,518,720,782,544,350,526,476
SYNPCC7942_RS06735,1502,506,1285,1300,396,912,766,420,1040,1750,1830,924,1781,1280,584,934,840,392
SYNPCC7942_RS06740,1756,1416,1578,1364,1296,1052,1038,1462,1348,2194,2168,2105,2609,2088,2314,1342,1684,1944
SYNPCC7942_RS06745,1092,936,1264,676,722,480,404,850,730,1752,1748,1372,1860,1494,1286,900,1162,1222
SYNPCC7942_RS06750,7710,7287,5376,6448,6757,7734,6955,8136,6382,10004,9420,11524,14694,8966,13133,5275,8569,10744
SYNPCC7942_RS06755,994,798,1132,722,774,480,450,626,738,1794,1998,1428,1812,1618,1328,626,1138,926
SYNPCC7942_RS06760,59832,57309,59975,43825,44248,33724,36566,49211,49937,58464,68916,62411,45829,46088,46250,46239,36242,38144
SYNPCC7942_RS06765,1309,1036,1246,932,1054,830,829,1017,1144,1872,1903,1682,1860,1366,1454,1046,1088,1164
SYNPCC7942_RS06770,18946,16443,16676,14439,15528,13056,11711,15975,14362,25790,25939,24219,30391,22538,26555,13211,18153,21197
SYNPCC7942_RS06775,10691,8681,9481,6803,7212,6656,6103,8170,8876,13617,13097,12322,15986,11046,16702,7687,8529,10980
SYNPCC7942_RS06780,14167,12286,13903,9198,9764,7474,7033,9632,9846,22198,21989,18198,23150,18625,19086,10232,14627,13105
SYNPCC7942_RS06785,6822,5084,5836,5362,4017,2650,3892,4696,4665,8153,8494,9688,9566,7856,9411,4890,4905,5348
SYNPCC7942_RS06790,644,466,598,386,410,218,258,374,382,772,752,618,836,782,750,426,628,520
SYNPCC7942_RS06795,8740,8046,9329,6560,6666,3859,3982,6130,6080,10803,12471,10291,8890,9602,7598,5703,7549,6836
SYNPCC7942_RS06800,4540,3841,4422,3052,3086,1620,1954,2922,3262,4762,5983,4328,5250,5282,4627,3140,4074,3742
SYNPCC7942_RS06805,8922,7348,8188,6849,7330,6136,5816,7554,7870,9202,10335,9145,12010,9405,10705,6730,7745,8046
SYNPCC7942_RS06810,4507,3556,4020,3468,2940,2080,2634,3295,3646,4982,5690,4624,6152,5421,4533,3066,5104,5323
SYNPCC7942_RS06815,2306,1813,2138,2046,1817,1230,1200,1479,1564,2925,3760,2858,3259,2996,2580,1504,2698,3091
SYNPCC7942_RS06820,1942,1588,1958,1640,1488,914,1000,1452,1506,2346,2768,2310,2742,2522,2452,1152,2266,2300
SYNPCC7942_RS06825,922,770,956,824,708,462,616,861,836,1092,1156,1022,1420,1138,1166,582,790,926
SYNPCC7942_RS06830,4059,3144,3384,3786,2898,2056,2654,2550,2632,5529,5636,5383,6282,5153,5663,2254,4015,4138
SYNPCC7942_RS06835,21459,17161,18586,15445,14201,11096,13146,15097,13696,30837,31429,28829,35958,29537,31892,13836,25042,24349
SYNPCC7942_RS06840,13298,11362,12508,11475,9902,7690,12200,12378,15978,16150,17127,15158,20149,17023,18572,12151,16478,13478
SYNPCC7942_RS06845,1931,1615,2018,1224,1310,968,972,1230,1174,2590,2549,2497,2146,1885,2102,1420,1256,1161
SYNPCC7942_RS06850,19682,16136,18973,16400,14946,13656,12809,15378,15258,24272,23853,22592,25661,20332,24029,14317,16772,18561
SYNPCC7942_RS06855,3279,2728,2985,2325,2306,1614,1916,2238,2959,4176,4572,4014,4012,4428,4256,2457,3726,3032
SYNPCC7942_RS06860,1318,1186,1670,936,952,512,616,752,860,1924,2142,1636,1714,1708,1596,936,1156,1018
SYNPCC7942_RS06865,22862,21053,24799,13471,17519,11602,9210,13684,14397,33804,34837,29472,26718,26215,24793,15148,17990,16038
SYNPCC7942_RS06870,15507,17165,17416,10223,13211,9881,8764,11799,11544,21426,23038,20375,18093,15725,16318,11505,11622,10887
SYNPCC7942_RS06875,17831,17362,18578,10752,12946,9765,8911,12466,13614,24248,25832,21925,22230,18609,19744,13270,13288,12248
SYNPCC7942_RS06880,4581,5324,5241,2762,3398,2493,2252,3051,3314,6303,6601,5764,4788,4072,3963,3116,3007,2600
SYNPCC7942_RS06885,964,682,962,758,690,336,382,528,688,1207,1452,1210,1218,1524,1296,624,1214,859
SYNPCC7942_RS06890,1256,926,1242,1096,994,546,668,944,1316,1560,1768,1264,1582,1659,1642,1014,1308,1290
SYNPCC7942_RS06895,1454,1098,1635,1264,1187,764,876,1078,1212,2046,2090,1850,2141,2059,2102,1092,1694,1848
SYNPCC7942_RS06900,118,110,116,94,82,54,32,38,74,168,168,156,126,128,174,66,66,68
SYNPCC7942_RS06905,848,738,1062,686,590,376,384,636,512,1120,1224,984,900,890,716,522,616,536
SYNPCC7942_RS06910,8811,8531,9665,5400,6119,3934,3810,5928,6308,10061,11863,10640,8837,9030,9712,7098,6346,5740
SYNPCC7942_RS06915,842,752,974,948,766,526,762,910,956,816,976,620,810,672,648,684,534,500
SYNPCC7942_RS06920,7159,5424,5014,5838,5360,3356,3840,4010,3958,9105,8960,9238,8738,7639,8623,3759,5042,4810
SYNPCC7942_RS06925,11988,10410,11242,8768,8984,7783,7484,9127,8126,20095,18107,17195,19378,15840,18346,8713,12332,12775
SYNPCC7942_RS06930,2538,1926,2705,1874,1647,1410,1730,1992,1983,3871,3932,3388,4402,3107,3548,2210,2366,2648
SYNPCC7942_RS06935,19375,14064,19061,13097,13064,9770,10858,13623,14646,28513,27387,25040,27123,23741,26727,16294,17595,18705
SYNPCC7942_RS06940,5520,4236,5186,4312,4240,2978,3748,4724,4868,7790,7813,7334,8713,6959,7900,4646,5143,6008
SYNPCC7942_RS06950,8297,7505,8246,6048,6366,4530,4257,5880,6212,11759,11936,11292,11701,10057,11379,5890,7571,7620
SYNPCC7942_RS06955,6859,4922,6350,4390,4574,2197,2554,3232,3276,11628,14056,9460,11548,12672,10955,3097,9516,7527
SYNPCC7942_RS06960,4637,3898,4784,4412,3823,3506,3864,4506,5231,6502,6487,6533,7449,5901,6485,4177,5374,5554
SYNPCC7942_RS06965,7372,5776,6616,4755,4009,3205,3986,4716,4492,7870,8346,8129,10068,6906,8270,4972,5645,7703
SYNPCC7942_RS06975,8274,7539,7569,4339,4700,3639,3526,5239,4218,17103,16131,15035,20991,13679,14441,6929,12065,16314
SYNPCC7942_RS06985,2065,1702,2286,1622,1406,996,1094,1450,1830,2904,2966,2590,2940,2674,2922,1704,2067,1728
SYNPCC7942_RS06990,2786,2807,3254,1732,1964,1183,1224,1968,2124,3626,3854,3261,3561,2934,3262,2142,2414,2551
SYNPCC7942_RS06995,648,460,550,408,448,254,308,404,422,690,876,642,678,740,832,346,596,492
SYNPCC7942_RS07000,1680,1654,1634,1662,1390,950,2098,1944,1900,2604,2734,2438,2698,2287,2379,1778,2168,2746
SYNPCC7942_RS07005,1180,958,1402,1218,1000,536,860,992,1284,1275,1688,1180,1658,1446,1478,924,1376,1432
SYNPCC7942_RS07010,1538,1486,1518,1182,1451,1202,954,1388,1008,2220,2332,2393,2495,2150,2326,1612,1366,1942
SYNPCC7942_RS07015,1564,1391,1726,1134,1198,816,928,1123,1136,2286,2480,2232,2599,2180,2202,1480,1626,1866
SYNPCC7942_RS07020,11427,10692,11226,9515,9297,7252,7386,9442,9365,15464,16300,15629,15885,14314,15578,8016,10706,11052
SYNPCC7942_RS07025,5774,5436,7942,4144,4564,4294,3967,5898,8011,8440,8027,7503,8673,6422,8113,6126,5350,5881
SYNPCC7942_RS07030,3870,3740,3777,3296,3048,2415,2340,2989,2962,5328,5590,4804,5638,4597,4946,2564,4003,4435
SYNPCC7942_RS07035,3663,2848,3435,2874,2398,1724,2234,2700,3554,4475,4898,4444,6424,5752,6073,2736,6076,6166
SYNPCC7942_RS07040,2740,2545,3068,1866,1662,1218,1252,1792,1650,4740,4852,3950,4666,4053,3554,2390,2909,2958
SYNPCC7942_RS07045,52647,47055,47356,40744,42016,37017,36065,46207,42115,74369,73143,67731,83602,59714,72710,39764,50429,59037
SYNPCC7942_RS07050,1158,1062,1308,1004,994,608,712,912,980,1618,2016,1398,1544,1512,1429,792,1142,1106
SYNPCC7942_RS07055,146,192,294,218,178,160,52,82,68,132,186,112,214,178,154,44,70,66
SYNPCC7942_RS07060,3958,3426,4034,3870,3627,2454,2568,3004,3952,4456,5023,4120,4078,4304,4582,2582,3079,2484
SYNPCC7942_RS07065,4206,2868,3188,3157,2803,1992,2352,2642,2688,4476,4717,4840,4374,4075,4982,2636,2726,2917
SYNPCC7942_RS07070,5235,4379,4656,4792,4308,3816,3396,4193,3860,6926,7288,6086,6590,5894,5670,3229,4774,5966
SYNPCC7942_RS07075,15699,13221,13954,10256,11430,7851,7872,9606,9736,24853,23600,23780,22341,19853,23917,10184,12859,12548
SYNPCC7942_RS07080,6772,7394,8204,5080,5670,4582,4489,6116,7467,8891,9132,8626,7487,5946,7485,5630,4424,4587
SYNPCC7942_RS07085,4265,3096,3307,3221,2719,2132,2898,2978,2748,4890,5214,4956,6210,5054,5338,2517,4404,5298
SYNPCC7942_RS07090,1072,798,920,832,827,516,616,756,688,2198,2616,2024,2284,2038,1940,1278,1638,1862
SYNPCC7942_RS07095,2680,2010,2574,2096,1893,1386,1424,1982,1572,3341,3864,3021,3601,3464,2860,1548,2842,3145
SYNPCC7942_RS07100,3552,2914,3854,3211,3041,1810,2299,3204,3930,4944,5714,4326,5700,5152,5085,2895,4278,4500
SYNPCC7942_RS07105,1158,862,1186,864,880,530,646,931,920,1482,1608,1384,1653,1370,1750,800,1241,1346
SYNPCC7942_RS07110,139337,138287,149797,127991,196805,153279,142810,171634,176924,145893,173098,143367,154145,148119,133146,144656,111309,88984
SYNPCC7942_RS07115,3362,2505,3260,2415,2482,2029,2232,2791,3847,3173,3631,3332,3641,3385,3499,3179,2763,2048
SYNPCC7942_RS07120,10041,7511,6896,7502,6154,5128,6032,5858,4708,10709,11499,11931,12771,9735,11616,5583,6855,8868
SYNPCC7942_RS07125,1438,1200,1320,1040,886,662,704,882,878,1838,1988,1778,1836,1652,1808,770,1092,1168
SYNPCC7942_RS07130,1140,702,1098,966,762,558,569,736,780,1218,1280,1194,1332,1182,1356,600,868,1038
SYNPCC7942_RS07135,10316,9114,9587,8562,8165,6298,7053,8560,8662,13971,14514,13545,16420,13202,15191,8614,11311,12713
SYNPCC7942_RS07140,1938,1258,1532,1174,1242,798,838,1190,1246,2654,2479,2255,3116,2319,3038,1156,1929,2250
SYNPCC7942_RS07145,2688,1836,2050,1545,1748,1302,1130,1988,1632,2939,3108,2766,3532,2759,3112,1662,2117,2584
SYNPCC7942_RS07150,49931,48681,48060,50245,46064,34691,38514,48027,45251,44721,49687,48665,36509,36485,34075,35473,25987,31110
SYNPCC7942_RS07155,17750,15739,17662,17862,22247,15830,17045,24363,22385,22283,24019,25093,22247,19433,28761,10468,15172,19315
